index,authors,title,publish_date,description,main_story,url
1809,['Cbc News'],"Grandmother at Woodslee care home cleared of COVID-19, but questions linger",2020-04-22,A Windsor man whose grandmother previously tested positive for COVID-19 at a long-term care facility...,A Windsor man whose grandmother previously tested positive for COVID-19 at a long-term care facility...,https://www.cbc.ca/news/canada/windsor/covid-19-country-village-nursing-home-ruccolo-woodslee-1.5540...
1810,['Cbc News'],"London hospice reopens after outbreak, vows to test all new admissions for COVID-19",2020-04-28,London's St Joseph's Hospice says it has reopened to new admissions after a COVID-19 outbreak that l...,London's St Joseph's Hospice says it is now reopened to new admissions after a COVID-19 outbreak has...,https://www.cbc.ca/news/canada/london/london-ontario-hospice-1.5547770
1811,"['Parliament Hill Bureau', 'Aaron Wherry Has Covered Parliament Hill Since', ""Has Written For Maclea...",We just saw a Commons without the usual stale theatrics — and it was a revelation,2020-04-20,We've heard a lot of argument lately among MPs about the importance of keeping the Commons in sessio...,In the midst of a deadly global pandemic — the likes of which almost no one alive today has ever exp...,https://www.cbc.ca/news/politics/covid-coronavirus-pandemic-commons-trudeau-scheer-1.5539044
1812,['Cbc News'],Extendicare York becomes third long-term care home in Sudbury to see an outbreak of COVID-19,2020-04-29,An outbreak at a third long-term care home in Sudbury has been declared. A staff member at Extendic...,An outbreak at a third long-term care home in Sudbury has been declared. A staff member at Extendica...,https://www.cbc.ca/news/canada/sudbury/one-staff-member-has-tested-positive-1.5548686
1813,['Cbc News'],"TransLink needs to be part of B.C.'s staged reopening, CEO says",2020-04-28,Kevin Desmond said TransLink wants to come back strongly when public health officials ease restricti...,"Public transit needs to be part of a ""staged recovery"" of B.C.'s economy in the coming months, Trans...",https://www.cbc.ca/news/canada/british-columbia/translink-bc-covid-19-restrictions-reopening-1.55473...
1814,['The Canadian Press'],Oil and gas drilling forecast revised to lowest level in nearly 50 years,2020-04-30,The Petroleum Services Association of Canada has revised its 2020 Canadian drilling forecast to an a...,The Petroleum Services Association of Canada has revised its 2020 Canadian drilling forecast to an a...,https://www.cbc.ca/news/canada/calgary/psac-numbers-drilling-forecast-covid-oil-gas-prices-alberta-1...
1815,['Cbc Radio'],Chris Hall: Bill Morneau's keeping his pandemic focus firmly on the near-term,2020-04-18,Finance Minister Bill Morneau says he thinks Canada blunted the worst of the pandemic's economic eff...,Canada's finance minister says there was a point early in the progress of the COVID-19 pandemic when...,https://www.cbc.ca/news/politics/chris-hall-bill-morneau-s-keeping-his-pandemic-focus-firmly-on-the-...
1816,['Cbc Radio'],"Canada's long-term care system needs to change, human rights advocate says",2020-04-12,The high number of COVID-19 deaths among residents of long-term care homes points to the urgent need...,The high number of COVID-19 deaths among residents of long-term care homes points to the urgent need...,https://www.cbc.ca/news/politics/chris-hall-bill-morneau-s-keeping-his-pandemic-focus-firmly-on-the-...
1817,"['Hadani Ditmars Is The Author Of Dancing In The No Fly Zone', ""A Woman'S Journey Through Iraq. A Fo...","Governments making power grabs, repressing dissent while world focuses on COVID-19",2020-04-18,"How far will the erosion of rights and freedoms be permitted to go in these strange new times, write...","This column is an opinion by Hadani Ditmars, the author of Dancing in the No Fly Zone: a Woman's Jou...",https://www.cbc.ca/news/opinion/opinion-press-freedom-covid-19-1.5531418
1818,[],Is spraying disinfectant in public spaces a good way to fight COVID-19?,2020-04-18,"Disinfectant sprays are being used around the world to hose down plazas, church steps, airports, veh...","Workers wearing protective suits, rubber boots and tanks of disinfectant strapped to their backs hav...",https://www.cbc.ca/news/health/disinfectant-sprays-1.5536516
1819,[],"COVID-19 in Sask: 'COVID is here for a while,' Moe says",2020-04-15,Restrictions on public gatherings and visiting family in long-term care homes are not likely to be l...,Click here for the latest: COVID-19 in Sask: Why testing numbers are down There are now 304 cases o...,https://www.cbc.ca/news/canada/saskatoon/coronavirus-saskatchewan-1.5532917
